QuotationID	QuotationText	Location
34085254	Cel. Not a word?<br>Ros. Not one to throw at a dog.	<i>As You Like It</i>, Act I Scene 3
34085255	O, how full of briers is this working-day world!	<i>As You Like It</i>, Act I Scene 3
34085256	Beauty provoketh thieves sooner than gold.	<i>As You Like It</i>, Act I Scene 3
34085257	We'll have a swashing and a martial outside,<br>As many other mannish cowards have.	<i>As You Like It</i>, Act I Scene 3
34085258	Sweet are the uses of adversity,<br>Which like the toad, ugly and venomous,<br>Wears yet a precious jewel in his head...	<i>As You Like It</i>, Act II Scene 1
34085259	The big round tears<br>Coursed one another down his innocent nose<br>In piteous chase.	<i>As You Like It</i>, Act II Scene 1
34085260	"Poor deer," quoth he, "thou makest a testament<br>As worldlings do, giving thy sum of more<br>To that which had too much."	<i>As You Like It</i>, Act II Scene 1
34085261	Sweep on, you fat and greasy citizens.	<i>As You Like It</i>, Act II Scene 1
34085262	And He that doth the ravens feed,<br>Yea, providently caters for the sparrow,<br>Be comfort to my age!	<i>As You Like It</i>, Act II Scene 3
34085263	For in my youth I never did apply<br>Hot and rebellious liquors in my blood.	<i>As You Like It</i>, Act II Scene 3
34085264	Therefore my age is as a lusty winter,<br>Frosty, but kindly.	<i>As You Like It</i>, Act II Scene 3
34085265	O, good old man, how well in thee appears<br>The constant service of the antique world,<br>When service sweat for duty, not for meed!<br>Thou art not for the fashion of these times,<br>Where none will sweat but for promotion.	<i>As You Like It</i>, Act II Scene 3
34085266	Ay, now am I in Arden: the more fool I. When I was at home I was in a better place; but travellers must be content.	<i>As You Like It</i>, Act II Scene 4
34085267	I shall ne'er be ware of mine own wit till I break my shins against it.	<i>As You Like It</i>, Act II Scene 4
34085268	Under the greenwood tree<br>Who loves to lie with me.	<i>As You Like It</i>, Act II Scene 5
34085269	I met a fool i' the forest,<br>A motley fool.	<i>As You Like It</i>, Act II Scene 7
34085270	And rail'd on Lady Fortune in good terms,<br>In good set terms.	<i>As You Like It</i>, Act II Scene 7
34085271	And then he drew a dial from his poke,<br>And looking on it with lack-lustre eye,<br>Says very wisely, "It is ten o'clock:<br>Thus we may see," quoth he, "how the world wags."	<i>As You Like It</i>, Act II Scene 7
34085272	And so from hour to hour we ripe and ripe,<br>And then from hour to hour we rot and rot;<br>And thereby hangs a tale.	<i>As You Like It</i>, Act II Scene 7
34085273	My lungs began to crow like chanticleer,<br>That fools should be so deep-contemplative;<br>And I did laugh sans intermission<br>An hour by his dial.	<i>As You Like It</i>, Act II Scene 7
34085274	Motley's the only wear.	<i>As You Like It</i>, Act II Scene 7
34085275	If ladies be but young and fair,<br>They have the gift to know it; and in his brain,<br>Which is as dry as the remainder biscuit<br>After a voyage, he hath strange places cramm'd<br>With observation, the which he vents<br>In mangled forms.	<i>As You Like It</i>, Act II Scene 7
34085276	I must have liberty<br>Withal, as large a charter as the wind,<br>To blow on whom I please.	<i>As You Like It</i>, Act II Scene 7
34085277	The "why" is plain as way to parish church.	<i>As You Like It</i>, Act II Scene 7
34085278	Under the shade of melancholy boughs,<br>Lose and neglect the creeping hours of time;<br>If ever you have look'd on better days,<br>If ever been where bells have knoll'd to church,<br>If ever sat at any good man's feast.	<i>As You Like It</i>, Act II Scene 7
34085279	True is it that we have seen better days.	<i>As You Like It</i>, Act II Scene 7
34085280	And wiped our eyes<br>Of drops that sacred pity hath engender'd.	<i>As You Like It</i>, Act II Scene 7
34085281	Oppress'd with two weak evils, age and hunger.	<i>As You Like It</i>, Act II Scene 7
34085282	All the world's a stage,<br>And all the men and women merely players.	<i>As You Like It</i>, Act II Scene 7
34085283	Blow, blow, thou winter wind!<br>Thou art not so unkind<br>As man's ingratitude.	<i>As You Like It</i>, Act II Scene 7
34085284	The fair, the chaste, and unexpressive she.	<i>As You Like It</i>, Act III Scene 2
34085285	It goes much against my stomach. Hast any philosophy in thee, shepherd?	<i>As You Like It</i>, Act III Scene 2
34085286	He that wants money, means, and content is without three good friends.	<i>As You Like It</i>, Act III Scene 2
34085287	This is the very false gallop of verses.	<i>As You Like It</i>, Act III Scene 2
34085288	Let us make an honourable retreat.	<i>As You Like It</i>, Act III Scene 2
34085289	With bag and baggage.	<i>As You Like It</i>, Act III Scene 2
34085290	O, wonderful, wonderful, and most wonderful wonderful! and yet again wonderful, and after that out of all hooping.	<i>As You Like It</i>, Act III Scene 2
34085291	Answer me in one word.	<i>As You Like It</i>, Act III Scene 2
34085292	I do desire we may be better strangers.	<i>As You Like It</i>, Act III Scene 2
34085293	Time travels in divers paces with divers persons. I'll tell you who Time ambles withal, who Time trots withal, who Time gallops withal, and who he stands still withal.	<i>As You Like It</i>, Act III Scene 2
34085294	Every one fault seeming monstrous till his fellow-fault came to match it.	<i>As You Like It</i>, Act III Scene 2
34085295	Neither rhyme nor reason.	<i>As You Like It</i>, Act III Scene 2
34085296	I would the gods had made thee poetical.	<i>As You Like It</i>, Act III Scene 2
34085297	Down on your knees,<br>And thank Heaven, fasting, for a good man's love.	<i>As You Like It</i>, Act III Scene 5
34085298	It is a melancholy of mine own, compounded of many simples, extracted from many objects, and indeed the sundry contemplation of my travels, in which my often rumination wraps me in a most humorous sadness.	<i>As You Like It</i>, Act IV Scene 1
34085299	I have gained my experience.	<i>As You Like It</i>, Act IV Scene 1
34085300	I had rather have a fool to make me merry than experience to make me sad.	<i>As You Like It</i>, Act IV Scene 1
34085301	I will scarce think you have swam in a gondola.	<i>As You Like It</i>, Act IV Scene 1
34085302	I'll warrant him heart-whole.	<i>As You Like It</i>, Act IV Scene 1
34085303	Good orators, when they are out, they will spit.	<i>As You Like It</i>, Act IV Scene 1
34085304	Men have died from time to time, and worms have eaten them,ùbut not for love.	<i>As You Like It</i>, Act IV Scene 1
34085305	Can one desire too much of a good thing?	<i>As You Like It</i>, Act IV Scene 1
34085306	For ever and a day.	<i>As You Like It</i>, Act IV Scene 1
34085307	Men are April when they woo, December when they wed: maids are May when they are maids, but the sky changes when they are wives.	<i>As You Like It</i>, Act IV Scene 1
34085308	The horn, the horn, the lusty horn<br>Is not a thing to laugh to scorn.	<i>As You Like It</i>, Act IV Scene 2
34085309	It is meat and drink to me.	<i>As You Like It</i>, Act V Scene 1
34085310	"So so" is good, very good, very excellent good; and yet it is not; it is but so so.	<i>As You Like It</i>, Act V Scene 1
34085311	The fool doth think he is wise, but the wise man knows himself to be a fool.	<i>As You Like It</i>, Act V Scene 1
34085312	I will kill thee a hundred and fifty ways.	<i>As You Like It</i>, Act V Scene 1
34085313	No sooner met but they looked; no sooner looked but they loved; no sooner loved but they sighed; no sooner sighed but they asked one another the reason; no sooner knew the reason but they sought the remedy.	<i>As You Like It</i>, Act V Scene 2
34085314	How bitter a thing it is to look into happiness through another man's eyes!	<i>As You Like It</i>, Act V Scene 2
34085315	Here comes a pair of very strange beasts, which in all tongues are called fools.	<i>As You Like It</i>, Act V Scene 4
34085316	An ill-favoured thing, sir, but mine own.	<i>As You Like It</i>, Act V Scene 4
34085317	Rich honesty dwells like a miser, sir, in a poor house; as your pearl in your foul oyster.	<i>As You Like It</i>, Act V Scene 4
34085318	The Retort Courteous;à the Quip Modest;à the Reply Churlish;à the Reproof Valiant;à the Countercheck Quarrelsome;à the Lie with Circumstance;à the Lie Direct.	<i>As You Like It</i>, Act V Scene 4
34085319	Your If is the only peacemaker; much virtue in If.	<i>As You Like It</i>, Act V Scene 4
34085320	Good wine needs no bush.	<i>As You Like It</i>, Epilogue
34085321	What a case am I in.	<i>As You Like It</i>, Epilogue
34085322	Look in the chronicles; we came in with Richard Conqueror.	<i>The Taming of the Shrew</i>, Prologue Scene 1
34085323	Let the world slide.	<i>The Taming of the Shrew</i>, Prologue Scene 1
34085324	I'll not budge an inch.	<i>The Taming of the Shrew</i>, Prologue Scene 1
34085325	As Stephen Sly and old John Naps of Greece,<br>And Peter Turph and Henry Pimpernell,<br>And twenty more such names and men as these<br>Which never were, nor no man ever saw.	<i>The Taming of the Shrew</i>, Prologue Scene 2
34085326	No profit grows where is no pleasure ta'en;<br>In brief, sir, study what you most affect.	<i>The Taming of the Shrew</i>, Act I Scene 1
34085327	There's small choice in rotten apples.	<i>The Taming of the Shrew</i>, Act I Scene 1
34085328	Nothing comes amiss; so money comes withal.	<i>The Taming of the Shrew</i>, Act I Scene 2
34085329	Tush! tush! fear boys with bugs.	<i>The Taming of the Shrew</i>, Act I Scene 2
34085330	And do as adversaries do in law,ù<br>Strive mightily, but eat and drink as friends.	<i>The Taming of the Shrew</i>, Act I Scene 2
34085331	Who wooed in haste, and means to wed at leisure.	<i>The Taming of the Shrew</i>, Act III Scene 2
34085332	And thereby hangs a tale.	<i>The Taming of the Shrew</i>, Act IV Scene 1
34085333	My cake is dough.	<i>The Taming of the Shrew</i>, Act V Scene 1
34085334	A woman moved is like a fountain troubled,ù<br>Muddy, ill-seeming, thick, bereft of beauty.	<i>The Taming of the Shrew</i>, Act V Scene 2
34085335	Such duty as the subject owes the prince,<br>Even such a woman oweth to her husband.	<i>The Taming of the Shrew</i>, Act V Scene 2
34085336	'T were all one<br>That I should love a bright particular star,<br>And think to wed it.	<i>All's Well that Ends Well</i>, Act I Scene 1
34085337	The hind that would be mated by the lion<br>Must die for love.	<i>All's Well that Ends Well</i>, Act I Scene 1
34085338	Our remedies oft in ourselves do lie,<br>Which we ascribe to Heaven.	<i>All's Well that Ends Well</i>, Act I Scene 1
34085339	Service is no heritage.	<i>All's Well that Ends Well</i>, Act I Scene 3
34085340	He must needs go that the devil drives.	<i>All's Well that Ends Well</i>, Act I Scene 3
34085341	My friends were poor but honest.	<i>All's Well that Ends Well</i>, Act I Scene 3
34085342	Oft expectation fails, and most oft there<br>Where most it promises.	<i>All's Well that Ends Well</i>, Act II Scene 1
34085343	I will show myself highly fed and lowly taught.	<i>All's Well that Ends Well</i>, Act II Scene 2
34085344	From lowest place when virtuous things proceed,<br>The place is dignified by the doer's deed.	<i>All's Well that Ends Well</i>, Act II Scene 3
34085345	They say miracles are past.	<i>All's Well that Ends Well</i>, Act II Scene 3
34085346	All the learned and authentic fellows.	<i>All's Well that Ends Well</i>, Act II Scene 3
34085347	A young man married is a man that's marr'd.	<i>All's Well that Ends Well</i>, Act II Scene 3
34085348	Make the coming hour o'erflow with joy,<br>And pleasure drown the brim.	<i>All's Well that Ends Well</i>, Act II Scene 4
34085349	No legacy is so rich as honesty.	<i>All's Well that Ends Well</i>, Act III Scene 5
34085350	The web of our life is of a mingled yarn, good and ill together.	<i>All's Well that Ends Well</i>, Act IV Scene 3
34085351	Whose words all ears took captive.	<i>All's Well that Ends Well</i>, Act V Scene 3
34085352	Praising what is lost<br>Makes the remembrance dear.	<i>All's Well that Ends Well</i>, Act V Scene 3
34085353	The inaudible and noiseless foot of Time.	<i>All's Well that Ends Well</i>, Act V Scene 3
34085354	All impediments in fancy's course<br>Are motives of more fancy.	<i>All's Well that Ends Well</i>, Act V Scene 3
34085355	The bitter past, more welcome is the sweet.	<i>All's Well that Ends Well</i>, Act V Scene 3
34085356	If music be the food of love, play on;<br>Give me excess of it, that, surfeiting,<br>The appetite may sicken, and so die.<br>That strain again! it had a dying fall:<br>O, it came o'er my ear like the sweet sound...	<i>Twelfth Night</i>, Act I Scene 1
34085357	I am sure care's an enemy to life.	<i>Twelfth Night</i>, Act I Scene 3
34085358	At my fingers' ends.	<i>Twelfth Night</i>, Act I Scene 3
34085359	Wherefore are these things hid?	<i>Twelfth Night</i>, Act I Scene 3
34085360	Is it a world to hide virtues in?	<i>Twelfth Night</i>, Act I Scene 3
34085361	One draught above heat makes him a fool; the second mads him; and a third drowns him.	<i>Twelfth Night</i>, Act I Scene 5
34085362	We will draw the curtain and show you the picture.	<i>Twelfth Night</i>, Act I Scene 5
34085363	'T is beauty truly blent, whose red and white<br>Nature's own sweet and cunning hand laid on:<br>Lady, you are the cruell'st she alive<br>If you will lead these graces to the grave<br>And leave the world no copy.	<i>Twelfth Night</i>, Act I Scene 5
34085364	Halloo your name to the reverberate hills,<br>And make the babbling gossip of the air<br>Cry out.	<i>Twelfth Night</i>, Act I Scene 5
34085365	Journeys end in lovers meeting,<br>Every wise man's son doth know.	<i>Twelfth Night</i>, Act II Scene 3
34085366	Then come kiss me, sweet and twenty.	<i>Twelfth Night</i>, Act II Scene 3
34085367	He does it with a better grace, but I do it more natural.	<i>Twelfth Night</i>, Act II Scene 3
34085368	Is there no respect of place, persons, nor time in you?	<i>Twelfth Night</i>, Act II Scene 3
34085369	Sir To. Dost thou think, because thou art virtuous, there shall be no more cakes and ale?<br>Clo. Yes, by Saint Anne, and ginger shall be hot i' the mouth too.	<i>Twelfth Night</i>, Act II Scene 3
34085370	My purpose is, indeed, a horse of that colour.	<i>Twelfth Night</i>, Act II Scene 3
34085371	These most brisk and giddy-paced times.	<i>Twelfth Night</i>, Act II Scene 4
34085372	Then let thy love be younger than thyself,<br>Or thy affection cannot hold the bent.	<i>Twelfth Night</i>, Act II Scene 4
34085373	The spinsters and the knitters in the sun<br>And the free maids that weave their thread with bones<br>Do use to chant it: it is silly sooth,<br>And dallies with the innocence of love,<br>Like the old age.	<i>Twelfth Night</i>, Act II Scene 4
34085374	I am all the daughters of my father's house,<br>And all the brothers too.	<i>Twelfth Night</i>, Act II Scene 4
34085375	An you had any eye behind you, you might see more detraction at your heels than fortunes before you.	<i>Twelfth Night</i>, Act II Scene 5
34085376	Some are born great, some achieve greatness, and some have greatness thrust upon'em.	<i>Twelfth Night</i>, Act II Scene 5
34085377	Foolery, sir, does walk about the orb like the sun; it shines everywhere.	<i>Twelfth Night</i>, Act III Scene 1
34085378	Oh, what a deal of scorn looks beautiful<br>In the contempt and anger of his lip!	<i>Twelfth Night</i>, Act III Scene 1
34085379	Love sought is good, but given unsought is better.	<i>Twelfth Night</i>, Act III Scene 1
34085380	Let there be gall enough in thy ink; though thou write with a goose-pen, no matter.	<i>Twelfth Night</i>, Act III Scene 2
34085381	I think we do know the sweet Roman hand.	<i>Twelfth Night</i>, Act III Scene 4
34085382	Put thyself into the trick of singularity.	<i>Twelfth Night</i>, Act III Scene 4
34085383	'T is not for gravity to play at cherry-pit with Satan.	<i>Twelfth Night</i>, Act III Scene 4
34085384	This is very midsummer madness.	<i>Twelfth Night</i>, Act III Scene 4
34085385	What, man! defy the Devil: consider, he is an enemy to mankind.	<i>Twelfth Night</i>, Act III Scene 4
34085386	If this were played upon a stage now, I could condemn it as an improbable fiction.	<i>Twelfth Night</i>, Act III Scene 4
34085387	More matter for a May morning.	<i>Twelfth Night</i>, Act III Scene 4
34085388	Still you keep o' the windy side of the law.	<i>Twelfth Night</i>, Act III Scene 4
34085389	An I thought he had been valiant and so cunning in fence, I'ld have seen him damned ere I' ld have challenged him.	<i>Twelfth Night</i>, Act III Scene 4
34085390	Out of my lean and low ability<br>I'll lend you something.	<i>Twelfth Night</i>, Act III Scene 4
34085391	Out of the jaws of death.	<i>Twelfth Night</i>, Act III Scene 4
34085392	As the old hermit of Prague, that never saw pen and ink, very wittily said to a niece of King Gorboduc, That that is, is.	<i>Twelfth Night</i>, Act IV Scene 2
34085393	Clo. What is the opinion of Pythagoras concerning wild fowl?<br>Mal. That the soul of our grandam might haply inhabit a bird.	<i>Twelfth Night</i>, Act IV Scene 2
34085394	Thus the whirligig of time brings in his revenges.	<i>Twelfth Night</i>, Act V Scene 1
34085395	For the rain it raineth every day.	<i>Twelfth Night</i>, Act V Scene 1
34085396	They say we are<br>Almost as like as eggs.	<i>The Winter's Tale</i>, Act I Scene 2
34085397	What's gone and what's past help<br>Should be past grief.	<i>The Winter's Tale</i>, Act III Scene 2
34085398	A snapper-up of unconsidered trifles.	<i>The Winter's Tale</i>, Act IV Scene 3
34085399	A merry heart goes all the day,<br>Your sad tires in a mile-a.	<i>The Winter's Tale</i>, Act IV Scene 3
34085400	When you do dance, I wish you<br>A wave o' the sea,	<i>The Winter's Tale</i>, Act IV Scene 4
34085401	I love a ballad in print o' life, for then we are sure they are true.	<i>The Winter's Tale</i>, Act IV Scene 4
34085402	To unpathed waters, undreamed shores.	<i>The Winter's Tale</i>, Act IV Scene 4
34085403	Lord of thy presence and no land beside.	<i>King John</i>, Act I Scene 1
34085404	And if his name be George, I'll call him Peter;<br>For new-made honour doth forget men's names.	<i>King John</i>, Act I Scene 1
34085405	For he is but a bastard to the time<br>That doth not smack of observation.	<i>King John</i>, Act I Scene 1
34085406	Sweet, sweet, sweet poison for the age's tooth.	<i>King John</i>, Act I Scene 1
34085407	For courage mounteth with occasion.	<i>King John</i>, Act II Scene 1
34085408	I would that I were low laid in my grave:<br>I am not worth this coil that's made for me.	<i>King John</i>, Act II Scene 1
34085409	Saint George, that swinged the dragon, and e'er since<br>Sits on his horse back at mine hostess' door.	<i>King John</i>, Act II Scene 1
34085410	He is the half part of a blessed man,<br>Left to be finished by such as she;<br>And she a fair divided excellence,<br>Whose fulness of perfection lies in him.	<i>King John</i>, Act II Scene 1
34085411	Talks as familiarly of roaring lions<br>As maids of thirteen do of puppy-dogs!	<i>King John</i>, Act II Scene 1
34085412	Zounds! I was never so bethump'd with words<br>Since I first call'd my brother's father dad.	<i>King John</i>, Act II Scene 2
34085413	I will instruct my sorrows to be proud;<br>For grief is proud, and makes his owner stoop.	<i>King John</i>, Act III Scene 1
34085414	Here I and sorrows sit;<br>Here is my throne, bid kings come bow to it.	<i>King John</i>, Act III Scene 1
34085415	Thou slave, thou wretch, thou coward!<br>Thou little valiant, great in villany!<br>Thou ever strong upon the stronger side!<br>Thou Fortune's champion that dost never fight<br>But when her humorous ladyship is by<br>To teach thee safety.	<i>King John</i>, Act III Scene 1
34085416	Thou wear a lion's hide! doff it for shame,<br>And hang a calf's-skin on those recreant limbs.	<i>King John</i>, Act III Scene 1
34085417	That no Italian priest<br>Shall tithe or toll in our dominions.	<i>King John</i>, Act III Scene 1
34085418	Grief fills the room up of my absent child,<br>Lies in his bed, walks up and down with me,<br>Puts on his pretty looks, repeats his words,<br>Remembers me of all his gracious parts,<br>Stuffs out his vacant garments with his form.	<i>King John</i>, Act III Scene 4
34085419	Life is as tedious as a twice-told tale<br>Vexing the dull ear of a drowsy man.	<i>King John</i>, Act III Scene 4
34085420	When Fortune means to men most good,<br>She looks upon them with a threatening eye.	<i>King John</i>, Act III Scene 4
34085421	And he that stands upon a slippery place<br>Makes nice of no vile hold to stay him up.	<i>King John</i>, Act III Scene 4
34085422	How now, foolish rheum!	<i>King John</i>, Act IV Scene 1
34085423	To gild refined gold, to paint the lily,<br>To throw a perfume on the violet,<br>To smooth the ice, or add another hue<br>Unto the rainbow, or with taper-light<br>To seek the beauteous eye of heaven to garnish,<br>Is wasteful and ridiculous excess.	<i>King John</i>, Act IV Scene 2
34085424	And oftentimes excusing of a fault<br>Doth make the fault the worse by the excuse.	<i>King John</i>, Act IV Scene 2
34085425	We cannot hold mortality's strong hand.	<i>King John</i>, Act IV Scene 2
34085426	Make haste; the better foot before.	<i>King John</i>, Act IV Scene 2
34085427	I saw a smith stand with his hammer, thus,<br>The whilst his iron did on the anvil cool,<br>With open mouth swallowing a tailor's news.	<i>King John</i>, Act IV Scene 2
34085428	Another lean unwashed artificer.	<i>King John</i>, Act IV Scene 2
34085429	How oft the sight of means to do ill deeds<br>Make deeds ill done!	<i>King John</i>, Act IV Scene 2
34085430	Mocking the air with colours idly spread.	<i>King John</i>, Act V Scene 1
34085431	'T is strange that death should sing.<br>I am the cygnet to this pale faint swan,<br>Who chants a doleful hymn to his own death,	<i>King John</i>, Act V Scene 7
34085432	Now my soul hath elbow-room.	<i>King John</i>, Act V Scene 7
34085433	This England never did, nor never shall,<br>Lie at the proud foot of a conqueror.	<i>King John</i>, Act V Scene 7
34085434	Come the three corners of the world in arms,<br>And we shall shock them. Nought shall make us rue,<br>If England to itself do rest but true.	<i>King John</i>, Act V Scene 7
34085435	Old John of Gaunt, time-honoured Lancaster.	<i>King Richard II</i>, Act I Scene 1
34085436	In rage deaf as the sea, hasty as fire.	<i>King Richard II</i>, Act I Scene 1
34085437	The daintiest last, to make the end most sweet.	<i>King Richard II</i>, Act I Scene 3
34085438	Truth hath a quiet breast.	<i>King Richard II</i>, Act I Scene 3
34085439	All places that the eye of heaven visits<br>Are to a wise man ports and happy havens.	<i>King Richard II</i>, Act I Scene 3
34085440	The tongues of dying men<br>Enforce attention like deep harmony.	<i>King Richard II</i>, Act II Scene 1
34085441	The setting sun, and music at the close,<br>As the last taste of sweets, is sweetest last,<br>Writ in remembrance more than things long past.	<i>King Richard II</i>, Act II Scene 1
34085442	This royal throne of kings, this sceptred isle,<br>This earth of majesty, this seat of Mars,<br>This other Eden, demi-paradise,<br>This fortress built by Nature for herself<br>Against infection and the hand of war...	<i>King Richard II</i>, Act II Scene 1
34085443	The ripest fruit first falls.	<i>King Richard II</i>, Act II Scene 1
34085444	Evermore thanks, the exchequer of the poor.	<i>King Richard II</i>, Act II Scene 3
34085445	Eating the bitter bread of banishment.	<i>King Richard II</i>, Act III Scene 1
34085446	Fires the proud tops of the eastern pines.	<i>King Richard II</i>, Act III Scene 2
34085447	Not all the water in the rough rude sea<br>Can wash the balm off from an anointed king.	<i>King Richard II</i>, Act III Scene 2
34085448	O, call back yesterday, bid time return!	<i>King Richard II</i>, Act III Scene 2
34085449	Let's talk of graves, of worms, and epitaphs.	<i>King Richard II</i>, Act III Scene 2
34085450	And nothing can we call our own but death<br>And that small model of the barren earth<br>Which serves as paste and cover to our bones.<br>For God's sake, let us sit upon the ground<br>And tell sad stories of the death of kings.	<i>King Richard II</i>, Act III Scene 2
34085451	Comes at the last, and with a little pin<br>Bores through his castle wallùand farewell king!	<i>King Richard II</i>, Act III Scene 2
34085452	He is come to open<br>The purple testament of bleeding war.	<i>King Richard II</i>, Act III Scene 3
34085453	And my large kingdom for a little grave,<br>A little little grave, an obscure grave.	<i>King Richard II</i>, Act III Scene 3
34085454	Gave<br>His body to that pleasant country's earth,<br>And his pure soul unto his captain Christ,<br>Under whose colours he had fought so long.	<i>King Richard II</i>, Act IV Scene 1
34085455	A mockery king of snow.	<i>King Richard II</i>, Act IV Scene 1
34085456	As in a theatre, the eyes of men,<br>After a well-graced actor leaves the stage,<br>Are idly bent on him that enters next,<br>Thinking his prattle to be tedious.	<i>King Richard II</i>, Act V Scene 2
34085457	As for a camel<br>To thread the postern of a small needle's eye.	<i>King Richard II</i>, Act V Scene 5
34085458	So shaken as we are, so wan with care.	<i>King Henry IV. Part I</i>, Act I Scene 1
34085459	In those holy fields<br>Over whose acres walked those blessed feet<br>Which fourteen hundred years ago were nail'd<br>For our advantage on the bitter cross.	<i>King Henry IV. Part I</i>, Act I Scene 1
34085460	Diana's foresters, gentlemen of the shade, minions of the moon.	<i>King Henry IV. Part I</i>, Act I Scene 2
34085461	Old father antic the law.	<i>King Henry IV. Part I</i>, Act I Scene 2
34085462	I would to God thou and I knew where a commodity of good names were to be bought.	<i>King Henry IV. Part I</i>, Act I Scene 2
34085463	Thou hast damnable iteration, and art indeed able to corrupt a saint.	<i>King Henry IV. Part I</i>, Act I Scene 2
34085464	And now am I, if a man should speak truly, little better than one of the wicked.	<i>King Henry IV. Part I</i>, Act I Scene 2
34085465	'T is my vocation, Hal;'t is no sin for a man to labour in his vocation.	<i>King Henry IV. Part I</i>, Act I Scene 2
34085466	He will give the devil his due.	<i>King Henry IV. Part I</i>, Act I Scene 2
34085467	There's neither honesty, manhood, nor good fellowship in thee.	<i>King Henry IV. Part I</i>, Act I Scene 2
34085468	If all the year were playing holidays,<br>To sport would be as tedious as to work.	<i>King Henry IV. Part I</i>, Act I Scene 2
34085469	Fresh as a bridegroom; and his chin new reap'd<br>Showed like a stubble-land at harvest-home;<br>He was perfumed like a milliner,<br>And'twixt his finger and his thumb he held<br>A pouncet-box, which ever and anon<br>He gave his nose and took &	<i>King Henry IV. Part I</i>, Act I Scene 3
34085470	And as the soldiers bore dead bodies by,<br>He called them untaught knaves, unmannerly,<br>To bring a slovenly unhandsome corse<br>Betwixt the wind and his nobility.	<i>King Henry IV. Part I</i>, Act I Scene 3
34085471	God save the mark.	<i>King Henry IV. Part I</i>, Act I Scene 3
34085472	The blood more stirs<br>To rouse a lion than to start a hare!	<i>King Henry IV. Part I</i>, Act I Scene 3
34085473	By heaven, methinks it were an easy leap<br>To pluck bright honour from the pale-faced moon,<br>Or dive into the bottom of the deep,<br>Where fathom-line could never touch the ground,<br>And pluck up drowned honour by the locks.	<i>King Henry IV. Part I</i>, Act I Scene 3
34085474	I know a trick worth two of that.	<i>King Henry IV. Part I</i>, Act II Scene 1
34085475	If the rascal have not given me medicines to make me love him, I'll be hanged.	<i>King Henry IV. Part I</i>, Act II Scene 2
34085476	It would be argument for a week, laughter for a month, and a good jest for ever.	<i>King Henry IV. Part I</i>, Act II Scene 2
34085477	Falstaff sweats to death,<br>And lards the lean earth as he walks along.	<i>King Henry IV. Part I</i>, Act II Scene 2
34085478	Out of this nettle, danger, we pluck this flower, safety.	<i>King Henry IV. Part I</i>, Act II Scene 3
34085479	Brain him with his lady's fan.	<i>King Henry IV. Part I</i>, Act II Scene 3
34085480	A Corinthian, a lad of mettle, a good boy.	<i>King Henry IV. Part I</i>, Act II Scene 4
34085481	A plague of all cowards, I say.	<i>King Henry IV. Part I</i>, Act II Scene 4
34085482	There live not three good men unhanged in England; and one of them is fat and grows old.	<i>King Henry IV. Part I</i>, Act II Scene 4
34085483	Call you that backing of your friends? A plague upon such backing!	<i>King Henry IV. Part I</i>, Act II Scene 4
34085484	I am a Jew else, an Ebrew Jew.	<i>King Henry IV. Part I</i>, Act II Scene 4
34085485	Three misbegotten knaves in Kendal green.	<i>King Henry IV. Part I</i>, Act II Scene 4
34085486	Give you a reason on compulsion! If reasons were as plentiful as blackberries, I would give no man a reason upon compulsion, I.	<i>King Henry IV. Part I</i>, Act II Scene 4
34085487	Mark now, how a plain tale shall put you down.	<i>King Henry IV. Part I</i>, Act II Scene 4
34085488	I was now a coward on instinct.	<i>King Henry IV. Part I</i>, Act II Scene 4
34085489	No more of that, Hal, an thou lovest me!	<i>King Henry IV. Part I</i>, Act II Scene 4
34085490	What doth gravity out of his bed at midnight?	<i>King Henry IV. Part I</i>, Act II Scene 4
34085491	A plague of sighing and grief! It blows a man up like a bladder.	<i>King Henry IV. Part I</i>, Act II Scene 4
34085492	In King Cambyses' vein.	<i>King Henry IV. Part I</i>, Act II Scene 4
34085493	That reverend vice, that grey iniquity, that father ruffian, that vanity in years.	<i>King Henry IV. Part I</i>, Act II Scene 4
34085494	Banish plump Jack, and banish all the world.	<i>King Henry IV. Part I</i>, Act II Scene 4
34085495	Play out the play.	<i>King Henry IV. Part I</i>, Act II Scene 4
34085496	O, monstrous! but one half-pennyworth of bread to this intolerable deal of sack!	<i>King Henry IV. Part I</i>, Act II Scene 4
34085497	Diseased Nature oftentimes breaks forth<br>In strange eruptions.	<i>King Henry IV. Part I</i>, Act III Scene 1
34085498	I am not in the roll of common men.	<i>King Henry IV. Part I</i>, Act III Scene 1
34085499	Glen. I can call spirits from the vasty deep.<br>Hot. Why, so can I, or so can any man;<br>But will they come when you do call for them?	<i>King Henry IV. Part I</i>, Act III Scene 1
34085500	While you live, tell truth and shame the devil!	<i>King Henry IV. Part I</i>, Act III Scene 1
34085501	I had rather be a kitten and cry mew<br>Than one of these same metre ballad-mongers.	<i>King Henry IV. Part I</i>, Act III Scene 1
34085502	But in the way of bargain, mark ye me,<br>I'll cavil on the ninth part of a hair.	<i>King Henry IV. Part I</i>, Act III Scene 1
34085503	A deal of skimble-skamble stuff.	<i>King Henry IV. Part I</i>, Act III Scene 1
34085504	Exceedingly well read.	<i>King Henry IV. Part I</i>, Act III Scene 1
34085505	A good mouth-filling oath.	<i>King Henry IV. Part I</i>, Act III Scene 1
